大类,子类,文件路径,代码片段,硬编码内容,使用场景,潜在问题,优化建议,意见
三、CSS 样式硬编码,,`src/styles/hig-tokens.css` L50-52,缓动曲线,3 个 cubic-bezier 值,HIG 动效曲线,同上,同上,
三、CSS 样式硬编码,,`src/styles/hig-tokens.css` L60-62,行高,"`1.2, 1.5, 1.65`",HIG 行高,同上,同上,
三、CSS 样式硬编码,,`src/styles/hig-tokens.css` L65-68,触达尺寸,`32px-44px` 共 4 级,HIG 触达尺寸,同上,同上,
三、CSS 样式硬编码,,`src/styles/hig-tokens.css` L71,`--hig-container-max: 1200px`,`1200px`,最大容器宽度,与窗口默认宽度一致,保持与窗口尺寸配置同步,
三、CSS 样式硬编码,,`src/styles/hig-tokens.css` L76-79,动效时长,`80ms-320ms` 共 4 级,HIG 时长,同上,同上,
三、CSS 样式硬编码,,`src/styles/hig-tokens.css` L82-91,语义状态色,oklch 颜色值,成功/警告/错误/信息,HIG 设计规范,已为 CSS 变量，良好,
三、CSS 样式硬编码,,`src/styles/tailwind.css` L140-144,缓动曲线和时长,"`cubic-bezier(0.2, 0.8, 0.2, 1), 150ms, 300ms, 400ms`",全局动效规范,与 hig-tokens.css 有重叠,统一为单一来源,
三、CSS 样式硬编码,,`src/styles/tailwind.css` L80,"`text-shadow: 0 0 4px rgba(0, 0, 0, 0.5)`",阴影参数,音名标签阴影,视觉参数,提取为 CSS 变量,
三、CSS 样式硬编码,,`src/styles/tailwind.css` L99,`outline: 2px solid oklch(60% 0.2 250)`,焦点样式,焦点指示器,HIG 规范,提取为 CSS 变量,
四、Notation 组件群（补充）,1. Notation 类型与默认配置,`src/components/Notation/types.ts` L61-69,`defaultDisplayConfig`,"`clef:true, keySignature:true, keySignatureText:true, barlines:false, timeSignature:false, noteNames:false, staffLines:true`",谱表默认显示项,布尔默认值散布,已为常量配置对象，合理,
四、Notation 组件群（补充）,1. Notation 类型与默认配置,`src/components/Notation/types.ts` L71-82,`defaultLayoutConfig`,"`paddingTop:40, staveHeight:140, staveGap:0, textHeight:30, bottomPadding:30, sidePadding:40, clefWidth:50, noteWidth:120, keySignatureWidthPerAlteration:120, maxScale:1.5`",谱表布局默认尺寸,10 个尺寸硬编码,已为常量，可通过 props 覆盖,
四、Notation 组件群（补充）,1. Notation 类型与默认配置,`src/components/Notation/types.ts` L84-88,`defaultStyleConfig`,"`backgroundColor:""transparent"", staffLineColor:""#000000"", noteColor:""#000000"", fontSize:10`",谱表样式默认值,`#000000` 硬编码颜色不随主题变化,通过 CSS 变量或主题注入,
四、Notation 组件群（补充）,1. Notation 类型与默认配置,`src/components/Notation/layout.ts` L124,`10 * scale`,`10`,noteStartX 附加偏移量,魔法数字未命名,提取为 `NOTE_START_X_OFFSET` 常量,
四、Notation 组件群（补充）,1. Notation 类型与默认配置,`src/components/Notation/layout.ts` L64,`containerWidth * 0.8`,`0.8`,scaleX 计算最小宽度系数,魔法数字,提取为 `MIN_WIDTH_RATIO` 常量,
四、Notation 组件群（补充）,1. Notation 类型与默认配置,`src/components/Notation/utils.ts` L15,`const NOTE_REGEX = /([a-g])(b,#)?(\d+)/i;`,正则表达式,音符字符串解析,合理常量,
四、Notation 组件群（补充）,1. Notation 类型与默认配置,`src/components/Notation/utils.ts` L16,"`Note.midi(""C4"") as number`","`""C4""`",中央 C MIDI 参考值,音名硬编码,合理（音乐理论固定值）,
四、Notation 组件群（补充）,1. Notation 类型与默认配置,`src/components/Notation/utils.ts` L73,"`duration: ""1""`","`""1""`",VexFlow 全音符时值,字符串字面量,提取为常量,
四、Notation 组件群（补充）,2. Notation.vue 渲染逻辑,`src/components/Notation/Notation.vue` L79,"`getLayoutDimensions(width, 9999, ...)`",`9999`,占位高度（仅宽度驱动）,魔法数字,提取为 `HEIGHT_PLACEHOLDER` 常量,
四、Notation 组件群（补充）,2. Notation.vue 渲染逻辑,`src/components/Notation/Notation.vue` L89,"`context.setFont(""Arial"", ...)`","`""Arial""`",VexFlow 字体名,硬编码字体，未使用系统字体,使用 CSS 变量或主题字体,
四、Notation 组件群（补充）,2. Notation.vue 渲染逻辑,`src/components/Notation/Notation.vue` L127,`Math.abs(newWidth - lastWidth) > 1`,`1`,重渲染宽度变化阈值,魔法数字,提取为 `RESIZE_THRESHOLD` 常量,
四、Notation 组件群（补充）,2. Notation.vue 渲染逻辑,`src/components/Notation/Notation.vue` L134,"`debounce(handleResize, 80)`",`80`,ResizeObserver 防抖时间,不可配置,提取为常量,
四、Notation 组件群（补充）,2. Notation.vue 渲染逻辑,`src/components/Notation/Notation.vue` L185-190,`canvas.width = 1; canvas.height = 1;`,"`1, 1`",oklchToRgb 探测 canvas 尺寸,魔法数字,合理（最小尺寸探测）,
四、Notation 组件群（补充）,2. Notation.vue 渲染逻辑,`src/components/Notation/Notation.vue` L197,`getPropertyValue('--color-base-content')`,`'--color-base-content'`,主题色 CSS 变量名,字符串硬编码,提取为常量,
四、Notation 组件群（补充）,2. Notation.vue 渲染逻辑,`src/components/Notation/Notation.vue` L213,"`attributeFilter: ['data-theme', 'class']`","`'data-theme', 'class'`",MutationObserver 监听属性,属性名硬编码,提取为常量数组,
四、Notation 组件群（补充）,3. Notation 设置组件,`src/components/Notation/NotationStyleSettings.vue` L36-37,"`:min=""6"" :max=""20"" :step=""1""`","`6, 20, 1`",字号范围限制,范围值硬编码,提取为常量,
四、Notation 组件群（补充）,3. Notation 设置组件,`src/components/Notation/NotationLayoutSettings.vue` L11-12,"`:min=""10"" :max=""100"" :step=""5""`","`10, 100, 5`",paddingTop 范围,同上,同上,
四、Notation 组件群（补充）,3. Notation 设置组件,`src/components/Notation/NotationLayoutSettings.vue` L20-21,"`:min=""80"" :max=""200"" :step=""10""`","`80, 200, 10`",staveHeight 范围,同上,同上,
四、Notation 组件群（补充）,3. Notation 设置组件,`src/components/Notation/NotationLayoutSettings.vue` L29-30,"`:min=""0"" :max=""60"" :step=""5""`","`0, 60, 5`",staveGap 范围,同上,同上,
四、Notation 组件群（补充）,3. Notation 设置组件,`src/components/Notation/NotationLayoutSettings.vue` L38-39,"`:min=""10"" :max=""60"" :step=""5""`","`10, 60, 5`",textHeight 范围,同上,同上,
四、Notation 组件群（补充）,3. Notation 设置组件,`src/components/Notation/NotationLayoutSettings.vue` L47-48,"`:min=""10"" :max=""60"" :step=""5""`","`10, 60, 5`",bottomPadding 范围,同上,同上,
四、Notation 组件群（补充）,3. Notation 设置组件,`src/components/Notation/NotationLayoutSettings.vue` L56-57,"`:min=""20"" :max=""100"" :step=""5""`","`20, 100, 5`",sidePadding 范围,同上,同上,
四、Notation 组件群（补充）,3. Notation 设置组件,`src/components/Notation/NotationLayoutSettings.vue` L65-66,"`:min=""30"" :max=""80"" :step=""5""`","`30, 80, 5`",clefWidth 范围,同上,同上,
四、Notation 组件群（补充）,3. Notation 设置组件,`src/components/Notation/NotationLayoutSettings.vue` L74-75,"`:min=""60"" :max=""200"" :step=""10""`","`60, 200, 10`",noteWidth 范围,同上,同上,
四、Notation 组件群（补充）,3. Notation 设置组件,`src/components/Notation/NotationLayoutSettings.vue` L83-84,"`:min=""0.5"" :max=""2"" :step=""0.1""`","`0.5, 2, 0.1`",maxScale 范围,同上,同上,
五、CustomCursor 组件（补充）,1. 指针尺寸与交互参数,`src/components/customCursor.vue` L12-13,`let halfElementWidth = 6; let halfElementWidth2 = 21;`,"`6, 21`",内/外指针半宽默认值,初始魔法数字，运行时被覆盖,已在 watch 中更新，可移除初始值,
五、CustomCursor 组件（补充）,1. 指针尺寸与交互参数,`src/components/customCursor.vue` L39-56,`INTERACTIVE_SELECTOR` 数组,`11 个 CSS 选择器字符串`,检测可交互元素,选择器列表硬编码，新增需改源码,提取为常量配置或可扩展注册机制,
五、CustomCursor 组件（补充）,1. 指针尺寸与交互参数,`src/components/customCursor.vue` L151,"`window.matchMedia(""(pointer:fine)"")`","`""(pointer:fine)""`",检测精确指针设备,媒体查询字符串,合理,
五、CustomCursor 组件（补充）,1. 指针尺寸与交互参数,`src/components/customCursor.vue` L161,"`document.body.style.cursor = ""default""`","`""default""`",恢复默认光标,字符串硬编码,合理,
五、CustomCursor 组件（补充）,1. 指针尺寸与交互参数,`src/components/customCursor.vue` L152,"`document.body.style.cursor = ""none""`","`""none""`",隐藏系统光标,字符串硬编码,合理,
五、CustomCursor 组件（补充）,1. 指针尺寸与交互参数,`src/components/customCursor.vue` L222-228,`borderRadius: hover.borderRadius \,\,"""50%""`, `boxShadow: ...inset 0 0 0 2px...`","`""50%"", ""2px""`",外指针 hover 样式默认值,
五、CustomCursor 组件（补充）,1. 指针尺寸与交互参数,`src/components/customCursor.vue` L236,"`borderRadius: ""50%""`","`""50%""`",外指针默认圆角,字符串硬编码,提取为常量,
五、CustomCursor 组件（补充）,1. 指针尺寸与交互参数,`src/components/customCursor.vue` L263,"`class=""... z-[99999]""`",`99999`,内指针 z-index,极高 z-index 硬编码,提取为常量,
五、CustomCursor 组件（补充）,1. 指针尺寸与交互参数,`src/components/customCursor.vue` L269,"`class=""... z-[9999]""`",`9999`,外指针 z-index,同上,同上,
五、CustomCursor 组件（补充）,2. CustomCursor 设置组件,`src/views/Settings/CursorSettings/CursorSettings.vue` L44-46,"`:min=""4"" :max=""32"" :step=""2""`","`4, 32, 2`",内指针尺寸范围,范围值硬编码,提取为常量,
五、CustomCursor 组件（补充）,2. CustomCursor 设置组件,`src/views/Settings/CursorSettings/CursorSettings.vue` L55-57,"`:min=""20"" :max=""80"" :step=""2""`","`20, 80, 2`",外指针尺寸范围,同上,同上,
五、CustomCursor 组件（补充）,2. CustomCursor 设置组件,`src/views/Settings/CursorSettings/CursorSettings.vue` L167-168,"`:min=""0"" :max=""500"" :step=""10""`","`0, 500, 10`",过渡时长范围,同上,同上,
五、CustomCursor 组件（补充）,2. CustomCursor 设置组件,`src/views/Settings/CursorSettings/CursorSettings.vue` L195-204,`colorSourceOptions`,"`""custom"", ""theme""`",颜色来源选项,字符串值硬编码,已为配置对象，合理,
五、CustomCursor 组件（补充）,2. CustomCursor 设置组件,`src/views/Settings/CursorSettings/CursorSettings.vue` L206-216,`hoverModeOptions`,"`""cover"", ""border"", ""none""`",hover 模式选项,同上,同上,
五、CustomCursor 组件（补充）,2. CustomCursor 设置组件,`src/views/Settings/CursorSettings/CursorSettings.vue` L218-239,`blendModeOptions`,"`""normal"", ""exclusion"", ""difference"", ""multiply"", ""screen""`",混合模式选项,同上,同上,
六、ChordDisplay 组件（补充）,1. 布局与样式硬编码,`src/views/ChordDisplay/ChordDisplay.vue` L2,"`id=""chordDisplay""`","`""chordDisplay""`",容器 DOM ID,字符串硬编码,合理（唯一标识）,
六、ChordDisplay 组件（补充）,1. 布局与样式硬编码,`src/views/ChordDisplay/ChordDisplay.vue` L23,"`class=""... gap-6 md:gap-20 ...""`","`gap-6, gap-20`",响应式间距,Tailwind 类名硬编码,合理,
六、ChordDisplay 组件（补充）,1. 布局与样式硬编码,`src/views/ChordDisplay/ChordDisplay.vue` L28,"`class=""... text-hig-3xl md:text-hig-4xl ...""`","`text-hig-3xl, text-hig-4xl`",响应式字号,同上,合理,
六、ChordDisplay 组件（补充）,1. 布局与样式硬编码,`src/views/ChordDisplay/ChordDisplay.vue` L40,"`class=""... text-xl ...""`",`text-xl`,音名字号,同上,合理,
六、ChordDisplay 组件（补充）,1. 布局与样式硬编码,`src/views/ChordDisplay/ChordDisplay.vue` L83,"`class=""... min-h-[150px] md:min-h-[200px]""`","`150px, 200px`",键盘最小高度,像素值硬编码,提取为常量或 CSS 变量,
六、ChordDisplay 组件（补充）,1. 布局与样式硬编码,`src/views/ChordDisplay/ChordDisplay.vue` L168,`midiChannel: 0`,`0`,MIDI 通道默认值,魔法数字,提取为 `DEFAULT_MIDI_CHANNEL` 常量,
六、ChordDisplay 组件（补充）,1. 布局与样式硬编码,`src/views/ChordDisplay/ChordDisplay.vue` L172,`namespace: \`chord-display/${props.moduleId}\``,"`""chord-display/""`",MIDI 命名空间前缀,与后端 MODULE_OUTPUTS 需一致,统一常量管理,
六、ChordDisplay 组件（补充）,1. 布局与样式硬编码,`src/views/ChordDisplay/ChordDisplay.vue` L190,"`moduleSettings.value?.chordNotation ?? ""preferred""`","`""preferred""`",默认和弦记谱法,字符串硬编码,提取为常量,
六、ChordDisplay 组件（补充）,2. ChordDisplay 设置组件,`src/views/Settings/ChordDisplaySettings/ChordDisplayModuleSettings.vue` L139-141,"`:min=""0"" :max=""1"" :step=""0.1""`","`0, 1, 0.1`",fadeOutDuration 范围,范围值硬编码,提取为常量,
六、ChordDisplay 组件（补充）,2. ChordDisplay 设置组件,`src/views/Settings/ChordDisplaySettings/ChordDisplayModuleSettings.vue` L164-166,"`:min=""0"" :max=""1"" :step=""0.1""`","`0, 1, 0.1`",textOpacity 范围,同上,同上,
六、ChordDisplay 组件（补充）,2. ChordDisplay 设置组件,`src/views/Settings/ChordDisplaySettings/ChordDisplayModuleSettings.vue` L175-177,"`:min=""1"" :max=""16"" :step=""0.1""`","`1, 16, 0.1`",keyHeight 范围,同上,同上,
六、ChordDisplay 组件（补充）,2. ChordDisplay 设置组件,`src/views/Settings/ChordDisplaySettings/ChordDisplayModuleSettings.vue` L187-189,"`:min=""0.1"" :max=""0.9"" :step=""0.025""`","`0.1, 0.9, 0.025`",blackKeyRatio 范围,同上,同上,
六、ChordDisplay 组件（补充）,2. ChordDisplay 设置组件,`src/views/Settings/ChordDisplaySettings/ChordDisplayModuleSettings.vue` L197-199,"`:min=""0"" :max=""1"" :step=""0.05""`","`0, 1, 0.05`",keyBorderRadius 范围,同上,同上,
七、PianoKeyboard 组件（补充）,1. classic 模式常量,`src/components/PianoKeyboard/classic/constants.ts` L3-5,"`BASE_SIZE=24, LABEL_SIZE=20, INFO_SIZE=12`","`24, 20, 12`",钢琴键基础尺寸,尺寸调整需改源码,已为常量，可配置化,
七、PianoKeyboard 组件（补充）,1. classic 模式常量,`src/components/PianoKeyboard/classic/constants.ts` L43,`LABEL_OFFSET: 4`,`4`,标签偏移,同上,同上,
七、PianoKeyboard 组件（补充）,1. classic 模式常量,`src/components/PianoKeyboard/classic/constants.ts` L52,`TONIC_RADIUS: 4`,`4`,根音圆半径,同上,同上,
七、PianoKeyboard 组件（补充）,2. flat 模式常量,`src/components/PianoKeyboard/flat/constants.ts` L3-5,"`BASE_SIZE=24, LABEL_SIZE=20, INFO_SIZE=12`","`24, 20, 12`",flat 模式基础尺寸,与 classic 重复,统一为共享常量,
七、PianoKeyboard 组件（补充）,2. flat 模式常量,`src/components/PianoKeyboard/flat/constants.ts` L25,`LABEL_OFFSET: 4`,`4`,标签偏移,与 classic 重复,同上,
七、PianoKeyboard 组件（补充）,2. flat 模式常量,`src/components/PianoKeyboard/flat/constants.ts` L28,`TONIC_RADIUS: 4`,`4`,根音圆半径,与 classic 重复,同上,
七、PianoKeyboard 组件（补充）,2. flat 模式常量,`src/components/PianoKeyboard/flat/constants.ts` L29,`NAME_OFFSET: 8`,`8`,名称偏移,魔法数字,已为常量,
七、PianoKeyboard 组件（补充）,2. flat 模式常量,`src/components/PianoKeyboard/flat/constants.ts` L30,`INFO_OFFSET: HEIGHT - 8`,`8`,信息偏移,同上,同上,
七、PianoKeyboard 组件（补充）,3. PianoKeyboard 工具函数,`src/components/PianoKeyboard/utils.ts` L26-33,`FADE_CLASSES` 数组,`6 个 CSS 类名字符串`,高亮褪色类名列表,类名硬编码,已为常量，合理,
七、PianoKeyboard 组件（补充）,3. PianoKeyboard 工具函数,`src/components/PianoKeyboard/utils.ts` L107,`12 - ((start - midi) % 12)`,`12`,八度折回计算,音乐理论固定值,合理,
七、PianoKeyboard 组件（补充）,3. PianoKeyboard 工具函数,`src/components/PianoKeyboard/utils.ts` L147,"`className = ""active""`","`""active""`",默认高亮类名,字符串硬编码,提取为常量,
七、PianoKeyboard 组件（补充）,3. PianoKeyboard 工具函数,`src/components/PianoKeyboard/utils.ts` L168,"`className = ""wrapped""`","`""wrapped""`",wrap 高亮类名,同上,同上,
七、PianoKeyboard 组件（补充）,3. PianoKeyboard 工具函数,`src/components/PianoKeyboard/utils.ts` L209,"`elements[i].classList.add(""tonic"")`","`""tonic""`",根音标记类名,同上,同上,
七、PianoKeyboard 组件（补充）,3. PianoKeyboard 工具函数,`src/components/PianoKeyboard/utils.ts` L212,"`elements[i].classList.add(""info"")`","`""info""`",音程信息类名,同上,同上,
七、PianoKeyboard 组件（补充）,3. PianoKeyboard 工具函数,`src/components/PianoKeyboard/utils.ts` L213,"`elements[i].querySelector("".pianoInfo"")`","`"".pianoInfo""`",音程信息元素选择器,同上,同上,
八、WaterfallPiano 引擎群（补充）,1. BackgroundRenderer,`src/views/WaterfallPiano/engine/BackgroundRenderer.ts` L70,`Math.min(window.devicePixelRatio \,\,"1, 2)`",`2`,DPR 上限,
八、WaterfallPiano 引擎群（补充）,2. KeyboardRenderer,`src/views/WaterfallPiano/engine/KeyboardRenderer.ts` L11,"`const BLACK_KEY_CLASSES = new Set([1, 3, 6, 8, 10])`","`[1, 3, 6, 8, 10]`",黑键 chroma 集合,音乐理论固定值,合理,
八、WaterfallPiano 引擎群（补充）,2. KeyboardRenderer,`src/views/WaterfallPiano/engine/KeyboardRenderer.ts` L12,`const BLACK_KEY_WIDTH_RATIO = 0.6`,`0.6`,黑键宽度比例,魔法数字,已为常量,
八、WaterfallPiano 引擎群（补充）,2. KeyboardRenderer,`src/views/WaterfallPiano/engine/KeyboardRenderer.ts` L13,`const BLACK_KEY_HEIGHT_RATIO = 0.62`,`0.62`,黑键高度比例,魔法数字,已为常量,
八、WaterfallPiano 引擎群（补充）,2. KeyboardRenderer,`src/views/WaterfallPiano/engine/KeyboardRenderer.ts` L42-43,`private from = 21; private to = 108;`,"`21, 108`",默认 MIDI 范围（A0-C8）,魔法数字,提取为 `DEFAULT_FROM/DEFAULT_TO` 常量,
八、WaterfallPiano 引擎群（补充）,2. KeyboardRenderer,`src/views/WaterfallPiano/engine/KeyboardRenderer.ts` L70,`this.settings.keyboard.customFrom \,\,"""A0""`","`""A0""`",默认起始音名,
八、WaterfallPiano 引擎群（补充）,2. KeyboardRenderer,`src/views/WaterfallPiano/engine/KeyboardRenderer.ts` L71,`this.settings.keyboard.customTo \,\,"""C8""`","`""C8""`",默认结束音名,
八、WaterfallPiano 引擎群（补充）,2. KeyboardRenderer,`src/views/WaterfallPiano/engine/KeyboardRenderer.ts` L289,"`ctx.fillStyle = ""#666""`","`""#666""`",白键标签颜色,硬编码颜色不随主题变化,使用 CSS 变量或主题色,
八、WaterfallPiano 引擎群（补充）,2. KeyboardRenderer,`src/views/WaterfallPiano/engine/KeyboardRenderer.ts` L290,"`Math.max(8, layout.whiteKeyWidth * 0.3)`","`8, 0.3`",白键标签字号计算,魔法数字,提取为常量,
八、WaterfallPiano 引擎群（补充）,2. KeyboardRenderer,`src/views/WaterfallPiano/engine/KeyboardRenderer.ts` L296,`this.height - 4`,`4`,白键标签 Y 偏移,魔法数字,提取为常量,
八、WaterfallPiano 引擎群（补充）,2. KeyboardRenderer,`src/views/WaterfallPiano/engine/KeyboardRenderer.ts` L299,"`ctx.fillStyle = ""#999""`","`""#999""`",黑键标签颜色,硬编码颜色不随主题变化,同上,
八、WaterfallPiano 引擎群（补充）,2. KeyboardRenderer,`src/views/WaterfallPiano/engine/KeyboardRenderer.ts` L300,"`Math.max(7, layout.blackKeyWidth * 0.35)`","`7, 0.35`",黑键标签字号计算,魔法数字,提取为常量,
八、WaterfallPiano 引擎群（补充）,2. KeyboardRenderer,`src/views/WaterfallPiano/engine/KeyboardRenderer.ts` L306,`layout.blackKeyHeight - 4`,`4`,黑键标签 Y 偏移,魔法数字,提取为常量,
八、WaterfallPiano 引擎群（补充）,3. NoteBlockSystem,`src/views/WaterfallPiano/engine/NoteBlockSystem.ts` L11,"`const BLACK_KEY_CLASSES = new Set([1, 3, 6, 8, 10])`","`[1, 3, 6, 8, 10]`",黑键 chroma 集合,与 KeyboardRenderer 重复,统一为共享常量,
八、WaterfallPiano 引擎群（补充）,3. NoteBlockSystem,`src/views/WaterfallPiano/engine/NoteBlockSystem.ts` L12,`const BLACK_KEY_WIDTH_RATIO = 0.6`,`0.6`,黑键宽度比例,与 KeyboardRenderer 重复,同上,
八、WaterfallPiano 引擎群（补充）,3. NoteBlockSystem,`src/views/WaterfallPiano/engine/NoteBlockSystem.ts` L49,`const POOL_MAX = 512`,`512`,对象池最大容量,魔法数字,已为常量,
八、WaterfallPiano 引擎群（补充）,3. NoteBlockSystem,`src/views/WaterfallPiano/engine/NoteBlockSystem.ts` L115,`if (t < 0.2) return valley;`,`0.2`,glow 动画分段阈值,魔法数字,提取为常量,
八、WaterfallPiano 引擎群（补充）,3. NoteBlockSystem,`src/views/WaterfallPiano/engine/NoteBlockSystem.ts` L117,`(t - 0.2) / 0.3`,"`0.2, 0.3`",glow 插值参数,同上,同上,
八、WaterfallPiano 引擎群（补充）,3. NoteBlockSystem,`src/views/WaterfallPiano/engine/NoteBlockSystem.ts` L120,`if (t < 0.8)`,`0.8`,glow 动画分段阈值,同上,同上,
八、WaterfallPiano 引擎群（补充）,3. NoteBlockSystem,`src/views/WaterfallPiano/engine/NoteBlockSystem.ts` L159,`cfg.duration * 1000`,`1000`,秒→毫秒转换,转换系数,提取为 `MS_PER_S` 常量,
八、WaterfallPiano 引擎群（补充）,3. NoteBlockSystem,`src/views/WaterfallPiano/engine/NoteBlockSystem.ts` L161,`(animT * cfg.rotationRange * Math.PI) / 180`,`180`,角度→弧度转换,转换系数,提取为 `DEG_PER_RAD` 常量,
八、WaterfallPiano 引擎群（补充）,3. NoteBlockSystem,`src/views/WaterfallPiano/engine/NoteBlockSystem.ts` L178,"`Math.min(p * 2, 200) * 0.5`","`200, 0.5`",glow 渐变半径计算,魔法数字,提取为常量,
八、WaterfallPiano 引擎群（补充）,3. NoteBlockSystem,`src/views/WaterfallPiano/engine/NoteBlockSystem.ts` L190-193,"`g.addColorStop(0.25, ""hsl(90, 80%, 60%)"")` 等",`5 个 hsl 颜色值`,rainbow 模式色标,硬编码 HSL 颜色,提取为颜色配置数组,
八、WaterfallPiano 引擎群（补充）,3. NoteBlockSystem,`src/views/WaterfallPiano/engine/NoteBlockSystem.ts` L449,"`blackKeyWidth * 0.9, whiteKeyWidth * 0.85`","`0.9, 0.85`",方块宽度比例,魔法数字,提取为常量,
八、WaterfallPiano 引擎群（补充）,3. NoteBlockSystem,`src/views/WaterfallPiano/engine/NoteBlockSystem.ts` L482,"`Math.max(pps * 0.05, 4)`","`0.05, 4`",实时方块初始最小高度,魔法数字,提取为常量,
八、WaterfallPiano 引擎群（补充）,3. NoteBlockSystem,`src/views/WaterfallPiano/engine/NoteBlockSystem.ts` L579,"`Math.min(deltaTime, 0.1)`",`0.1`,deltaTime 上限,魔法数字,提取为 `MAX_DELTA_TIME` 常量,
八、WaterfallPiano 引擎群（补充）,3. NoteBlockSystem,`src/views/WaterfallPiano/engine/NoteBlockSystem.ts` L619,`this.settings ? this.settings.particles.lookAhead : 3`,`3`,lookAhead 默认值,魔法数字,提取为 `DEFAULT_LOOK_AHEAD` 常量,
八、WaterfallPiano 引擎群（补充）,3. NoteBlockSystem,`src/views/WaterfallPiano/engine/NoteBlockSystem.ts` L625,`t < this.lastTransportTime - 0.1`,`0.1`,seek 后退检测阈值,魔法数字,提取为常量,
八、WaterfallPiano 引擎群（补充）,3. NoteBlockSystem,`src/views/WaterfallPiano/engine/NoteBlockSystem.ts` L661,`lookAhead + notes[this.synthesiaCursor].duration + 1`,`1`,游标推进附加时间,魔法数字,提取为常量,
八、WaterfallPiano 引擎群（补充）,3. NoteBlockSystem,`src/views/WaterfallPiano/engine/NoteBlockSystem.ts` L759,`this.height * 0.5`,`0.5`,方块回收阈值比例,魔法数字,提取为 `RECYCLE_THRESHOLD_RATIO` 常量,
八、WaterfallPiano 引擎群（补充）,3. NoteBlockSystem,`src/views/WaterfallPiano/engine/NoteBlockSystem.ts` L772,`if (!this.settings) return 200`,`200`,pixelsPerSecond 默认值,魔法数字,提取为 `DEFAULT_PPS` 常量,
八、WaterfallPiano 引擎群（补充）,3. NoteBlockSystem,`src/views/WaterfallPiano/engine/NoteBlockSystem.ts` L773,`this.settings.particles.speed * 100`,`100`,speed→pps 转换系数,魔法数字,提取为常量,
八、WaterfallPiano 引擎群（补充）,3. NoteBlockSystem,`src/views/WaterfallPiano/engine/NoteBlockSystem.ts` L825,"`brightenColor(baseColor, 0.4)`",`0.4`,触发时颜色增亮比例,魔法数字,提取为常量,
八、WaterfallPiano 引擎群（补充）,3. NoteBlockSystem,`src/views/WaterfallPiano/engine/NoteBlockSystem.ts` L991-999,`brightenColor` 函数,`255`,RGB 最大值,合理（颜色理论固定值）,保持现状,
八、WaterfallPiano 引擎群（补充）,4. NoteColorMapper,`src/views/WaterfallPiano/engine/NoteColorMapper.ts` L14-18,`HAND_COLORS`,"`""#3b82f6"", ""#f59e0b"", ""#9ca3af""`",左右手颜色映射,硬编码颜色不随主题变化,使用 CSS 变量或配置项,
八、WaterfallPiano 引擎群（补充）,4. NoteColorMapper,`src/views/WaterfallPiano/engine/NoteColorMapper.ts` L20-22,"`PITCH_LOW=21, PITCH_MID=60, PITCH_HIGH=108`","`21, 60, 108`",音高分区阈值,音乐理论固定值（A0/C4/C8）,合理,
八、WaterfallPiano 引擎群（补充）,4. NoteColorMapper,`src/views/WaterfallPiano/engine/NoteColorMapper.ts` L78-82,`DEFAULT_CUSTOM`,"`""#6366f1"", ""#14b8a6"", ""#f59e0b""`",默认自定义配色,与 constants.ts 重复,统一为单一来源,
八、WaterfallPiano 引擎群（补充）,4. NoteColorMapper,`src/views/WaterfallPiano/engine/NoteColorMapper.ts` L103,`(midi * 23) % 360`,"`23, 360`",rainbow 色相计算,魔法数字,提取为常量,
八、WaterfallPiano 引擎群（补充）,4. NoteColorMapper,`src/views/WaterfallPiano/engine/NoteColorMapper.ts` L106,"`(midi % 6) * 15, 85, 55`","`6, 15, 85, 55`",warm 配色参数,魔法数字,提取为配色配置,
八、WaterfallPiano 引擎群（补充）,4. NoteColorMapper,`src/views/WaterfallPiano/engine/NoteColorMapper.ts` L109,"`(midi % 6) * 20 + 180, 75, 55`","`6, 20, 180, 75, 55`",cool 配色参数,同上,同上,
八、WaterfallPiano 引擎群（补充）,4. NoteColorMapper,`src/views/WaterfallPiano/engine/NoteColorMapper.ts` L112,"`(midi % 4) * 60 + 280, 95, 60`","`4, 60, 280, 95, 60`",neon 配色参数,同上,同上,
八、WaterfallPiano 引擎群（补充）,5. PerformanceMonitor,`src/views/WaterfallPiano/engine/PerformanceMonitor.ts` L1,`const WINDOW_SIZE = 60`,`60`,FPS 滑动窗口大小,魔法数字,已为常量,
八、WaterfallPiano 引擎群（补充）,5. PerformanceMonitor,`src/views/WaterfallPiano/engine/PerformanceMonitor.ts` L2,`const DEGRADE_THRESHOLD_FPS = 45`,`45`,降级 FPS 阈值,魔法数字,已为常量,
八、WaterfallPiano 引擎群（补充）,5. PerformanceMonitor,`src/views/WaterfallPiano/engine/PerformanceMonitor.ts` L3,`const DEGRADE_CONSECUTIVE_FRAMES = 30`,`30`,降级连续帧数阈值,魔法数字,已为常量,
八、WaterfallPiano 引擎群（补充）,5. PerformanceMonitor,`src/views/WaterfallPiano/engine/PerformanceMonitor.ts` L18,`deltaTime > 0 ? deltaTime : 16.67`,`16.67`,默认帧时间（60fps）,魔法数字,提取为 `DEFAULT_FRAME_TIME` 常量,
八、WaterfallPiano 引擎群（补充）,5. PerformanceMonitor,`src/views/WaterfallPiano/engine/PerformanceMonitor.ts` L23,`1000 / dt`,`1000`,ms→fps 转换,合理,保持现状,
